ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_02267,3.4.21.-,-5.347060194,7.676793431,-22.26517967,1.75901584136218e-26,6.43964617295982e-25,49.8369066
BJEIHDPM_04401,mepC_3,-5.770962839,6.710732631,-22.26495432,1.75977597691715e-26,6.43964617295982e-25,49.49916104
BJEIHDPM_03382,3.5.4.28,-4.661862085,7.483834936,-22.26155836,1.77127171250406e-26,6.43964617295982e-25,49.82707268
BJEIHDPM_02006,inference=ab initio prediction:Prodigal:2.6,-5.137702224,8.075651542,-22.23596049,1.86042436757433e-26,6.71291469172122e-25,49.89345271
BJEIHDPM_02218,2.6.1.82,-5.631914,7.480632927,-22.22596615,1.89646281041495e-26,6.76644230606328e-25,49.6993316
BJEIHDPM_01597,bdlA_3,-5.026051625,7.4951456,-22.22404854,1.90345845242455e-26,6.76644230606328e-25,49.76323404
BJEIHDPM_01790,inference=ab initio prediction:Prodigal:2.6,-5.297682425,7.441513127,-22.20644434,1.96892290517325e-26,6.94769192788707e-25,49.67642806
BJEIHDPM_02023,inference=ab initio prediction:Prodigal:2.6,-5.044516127,7.417677169,-22.20114743,1.98906626509234e-26,6.96570610233173e-25,49.69371533
BJEIHDPM_01836,inference=ab initio prediction:Prodigal:2.6,-5.027257066,8.206857662,-22.19750029,2.0030578081304e-26,6.96570610233173e-25,49.84634691
BJEIHDPM_01171,3.6.4.13,-5.366302246,7.166451865,-22.18877217,2.03695040488878e-26,7.03260790867718e-25,49.58420905
BJEIHDPM_03174,hisM_1,-5.429521932,7.457907937,-22.18380403,2.05650294722125e-26,7.04939831693914e-25,49.61656695
BJEIHDPM_00869,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HX91",-5.06036904,7.7851138,-22.17477745,2.09251891705968e-26,7.12198459785065e-25,49.72167136
BJEIHDPM_02295,3.2.1.14,-5.178568752,7.43881931,-22.14684108,2.20811295798223e-26,7.43303829389427e-25,49.57894126
BJEIHDPM_00781,1.1.1.132,-5.310223486,7.603813964,-22.14525041,2.21488742660321e-26,7.43303829389427e-25,49.60329808
BJEIHDPM_02148,3.5.1.97,-5.342047158,8.143977502,-22.13725368,2.24926686721809e-26,7.49599423318028e-25,49.68096295
BJEIHDPM_01904,1.9.3.1,-5.038088446,8.126407156,-22.12727555,2.2929289382946e-26,7.58851421215365e-25,49.69503263
BJEIHDPM_01842,3.1.4.53,-5.276525348,7.945736873,-22.12195422,2.31656620028094e-26,7.58851421215365e-25,49.63338683
BJEIHDPM_04077,btuB_2,-5.488740003,7.252686587,-22.12018794,2.32446674137651e-26,7.58851421215365e-25,49.46779433
BJEIHDPM_00620,2.7.7.-,-5.687799214,7.30288554,-22.10429227,2.39681594593924e-26,7.77008450570006e-25,49.40778407
BJEIHDPM_00177,ydfJ,-5.231118896,7.474566353,-22.10091815,2.41246632912963e-26,7.77008450570006e-25,49.49612621
BJEIHDPM_01158,yedA,-4.983055044,7.784461546,-22.08171729,2.50353154811559e-26,7.9699999099813e-25,49.56399989
BJEIHDPM_01734,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P31064",-5.189426641,7.055891145,-22.08084485,2.50775158659549e-26,7.9699999099813e-25,49.3769561
